,FIPS_ID,FIRE_NAME,FIRE_YEAR,DISCOVERY_TIME,STAT_CAUSE_DESCR,CONT_DATE,CONT_TIME,FIRE_SIZE,FIRE_SIZE_CLASS,LATITUDE,LONGITUDE,FIPS_NAME,DISCOVERY_MONTH,DISCOVERY_DAY,AWND,PRCP,TAVG,DURING_A_DROUGHT,WATERSHD,POP_BY_COUNTY
0,025-01,NORRISH,2000,945.0,Miscellaneous,5/31/2000,1800.0,87.4,C,32.8339,-115.2919,Imperial,5,30,,0.0,93.5,0.0,0,142359
1,025-02,GUN,2001,1245.0,Miscellaneous,5/20/2001,1345.0,0.1,A,32.629,-116.1486,Imperial,5,20,4.92,0.0,88.4,0.0,0,143295
2,025-03,ONEAL,2001,1600.0,Campfire,7/17/2001,2200.0,18.0,C,32.6306,-116.0892,Imperial,7,17,10.405,0.0,91.0,0.0,0,143295
3,025-04,EXPEDITION,2002,1934.0,Lightning,12/28/2002,2000.0,0.1,A,32.9714,-115.205,Imperial,12,28,3.58,0.0,56.4,1.0,0,144818
4,025-05,M L K,2002,1345.0,Lightning,1/20/2002,1430.0,0.1,A,32.9109,-115.1186,Imperial,1,20,6.04,0.0,52.6,0.0,0,144818
5,025-06,MAGNESIUM,2002,13.0,Arson,11/30/2002,56.0,0.1,A,32.9448,-115.1491,Imperial,11,30,3.58,0.003333333,61.0,1.0,0,144818
6,025-07,NILAND,2002,1421.0,Arson,11/20/2002,1805.0,2.0,B,33.2831,-115.4933,Imperial,11,20,5.7,0.0,73.8,1.0,0,144818
7,025-08,PUMPKIN,2002,2000.0,Campfire,11/2/2002,2119.0,0.1,A,32.9887,-115.0605,Imperial,11,2,3.805,0.0,69.2,1.0,0,144818
8,025-09,SAND,2002,2200.0,Children,12/31/2002,2230.0,0.1,A,32.9331,-115.1339,Imperial,12,31,5.82,0.0,55.6,1.0,0,144818
9,025-10,SUBURBAN,2002,200.0,Equipment Use,12/28/2002,230.0,0.1,A,32.9498,-115.1672,Imperial,12,28,3.58,0.0,56.4,1.0,0,144818
10,025-100,GAVILAN,2011,1020.0,Missing/Undefined,6/28/2011,1100.0,0.1,A,33.52513,-114.76957,Imperial,6,28,8.39,0.0,96.75,1.0,0,175786
11,025-101,HAY STACK,2011,1713.0,Lightning,7/18/2011,1800.0,7.0,B,32.7672,-114.5839,Imperial,7,13,11.855,0.0,90.25,1.0,0,175786
12,025-102,MAMMOTH,2011,1730.0,Lightning,11/27/2011,2000.0,0.1,A,33.152561999999996,-115.31718300000001,Imperial,11,27,3.58,0.0,67.75,1.0,0,175786
13,025-103,OASIS,2011,1324.0,Campfire,4/17/2011,1345.0,0.1,A,32.97,-115.2847,Imperial,4,17,10.735,0.0,83.5,1.0,0,175786
14,025-104,OLDS,2011,2100.0,Equipment Use,11/24/2011,2200.0,0.1,A,32.96758,-115.09963,Imperial,11,24,8.5,0.0,60.5,1.0,0,175786
15,025-105,PICACHO STATE PARK,2011,1920.0,Lightning,9/16/2011,1800.0,1.5,B,33.025,-114.6089,Imperial,9,13,8.95,0.106,81.25,1.0,0,175786
16,025-106,POLE,2011,1325.0,Lightning,2/21/2011,1200.0,0.1,A,32.826,-115.847691,Imperial,2,20,8.5,0.008333333,53.0,1.0,0,175786
17,025-107,SUNRISE,2011,840.0,Miscellaneous,6/7/2011,1230.0,0.1,A,32.78988,-115.87912,Imperial,6,7,10.51,0.0,81.0,1.0,0,175786
18,025-108,,2011,1243.0,Arson,,,1.0,B,32.811177,-115.337975,Imperial,6,26,7.27,0.0,97.0,1.0,0,175786
19,025-109,COUNTY LINE,2012,1925.0,Lightning,4/24/2012,2345.0,2.5,B,33.415,-114.6614,Imperial,4,23,11.295,0.0,79.75,1.0,0,176575
